issue_key,rule,file,baseline_line,work
AaCOHz9p9tFduPng0-W6,docker:S6506,docker/main/Dockerfile,327,new
AaCOHy429tFduPng09-q,python:S1066,frigate/__main__.py,77,new
AaCOHyth9tFduPng097Z,python:S1066,frigate/comms/dispatcher.py,560,new
AaCOHyth9tFduPng097a,python:S1066,frigate/comms/dispatcher.py,585,new
AaCOHyth9tFduPng097b,python:S1066,frigate/comms/dispatcher.py,633,new
AaCOHyth9tFduPng097c,python:S1066,frigate/comms/dispatcher.py,752,new
AaCOHyth9tFduPng097d,python:S1066,frigate/comms/dispatcher.py,782,new
AaCOHyth9tFduPng097e,python:S1066,frigate/comms/dispatcher.py,809,new
AaCOHyth9tFduPng097f,python:S1066,frigate/comms/dispatcher.py,829,new
AaCOHyth9tFduPng097g,python:S1066,frigate/comms/dispatcher.py,872,new
AaCOHyth9tFduPng097h,python:S1066,frigate/comms/dispatcher.py,990,new
AaCOHyth9tFduPng097i,python:S1066,frigate/comms/dispatcher.py,1015,new
AaCOHyga9tFduPng093a,python:S1066,frigate/data_processing/real_time/whisper_online.py,421,new
AaCOHyue9tFduPng098X,python:S1066,frigate/ptz/autotrack.py,1516,new
AaCOHy3l9tFduPng09-N,python:S1066,frigate/review/maintainer.py,457,new
AaCOHyou9tFduPng096B,python:S1066,frigate/util/image.py,244,new
AaCOHynm9tFduPng095v,python:S1066,frigate/util/rknn_converter.py,327,new
AaCOH0AY9tFduPng0-XM,python:S1192,docker/main/rootfs/usr/local/go2rtc/create_config.py,30,new
AaCOHx_A9tFduPng09w0,python:S1192,docs/scripts/generate_ui_tabs.py,573,new
AaCOHx-X9tFduPng09wm,python:S1192,docs/scripts/lib/nav_map.py,10,new
AaCOHx-X9tFduPng09wl,python:S1192,docs/scripts/lib/nav_map.py,24,new
AaCOHy429tFduPng09-p,python:S1192,frigate/__main__.py,45,new
AaCOHydM9tFduPng091z,python:S1192,frigate/api/app.py,521,new
AaCOHybx9tFduPng091T,python:S1192,frigate/api/auth.py,70,new
AaCOHybx9tFduPng091R,python:S1192,frigate/api/auth.py,279,new
AaCOHybx9tFduPng091S,python:S1192,frigate/api/auth.py,1010,new
AaCOHyZo9tFduPng090G,python:S1192,frigate/api/camera.py,71,new
AaCOHyZo9tFduPng090I,python:S1192,frigate/api/camera.py,75,new
