issue_key,tier,rule,file,baseline_line,status
AaCUGRuZto_c3DKAy0k-,T2,typescript:S6861,web/src/lib/fork/qr-encode.ts,4,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0k_,T2,typescript:S3504,web/src/lib/fork/qr-encode.ts,4,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0lG,T2,typescript:S3504,web/src/lib/fork/qr-encode.ts,14,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0lH,T2,typescript:S3504,web/src/lib/fork/qr-encode.ts,15,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0lJ,T2,typescript:S3504,web/src/lib/fork/qr-encode.ts,24,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0lM,T2,typescript:S3776,web/src/lib/fork/qr-encode.ts,292,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0lO,T2,typescript:S3776,web/src/lib/fork/qr-encode.ts,356,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0lP,T2,typescript:S1994,web/src/lib/fork/qr-encode.ts,433,source-addressed-awaiting-scan
AaCUGRuZto_c3DKAy0lR,T2,typescript:S1994,web/src/lib/fork/qr-encode.ts,666,source-addressed-awaiting-scan
AaCOHzRY9tFduPng0-Gy,T2,typescript:S3776,web/src/components/card/ReviewCard.tsx,54,open
AaCOHzcW9tFduPng0-K_,T2,typescript:S3776,web/src/components/menu/LiveContextMenu.tsx,75,open
AaCOHzYf9tFduPng0-Jp,T2,typescript:S3776,web/src/components/player/LivePlayer.tsx,64,open
AaCOHzuE9tFduPng0-Ra,T2,typescript:S3776,web/src/views/live/DraggableGridLayout.tsx,79,open
AaCOHztv9tFduPng0-RK,T2,typescript:S3776,web/src/views/live/LiveDashboardView.tsx,71,open
AaCOH0Rj9tFduPng0-Z6,T1,githubactions:S6505,.github/workflows/pull_request.yml,27,source-addressed-awaiting-scan
AaCOH0Rj9tFduPng0-Z7,T1,githubactions:S6505,.github/workflows/pull_request.yml,48,source-addressed-awaiting-scan
AaCOH0Rj9tFduPng0-Z8,T1,githubactions:S6505,.github/workflows/pull_request.yml,54,source-addressed-awaiting-scan
AaCOH0Rj9tFduPng0-Z9,T1,githubactions:S8543,.github/workflows/pull_request.yml,54,source-addressed-awaiting-scan
AaCOH0Rj9tFduPng0-Z-,T1,githubactions:S6505,.github/workflows/pull_request.yml,69,source-addressed-awaiting-scan
AaCOHywM9tFduPng099D,T2,python:S3776,frigate/stats/prometheus.py,64,open
AaCOHyX_9tFduPng09z1,T2,python:S3776,frigate/api/event.py,518,open
AaCOHyaI9tFduPng090x,T2,python:S3776,frigate/api/media.py,464,open
