issue_key,tier,rule,file
AaCOHy_39tFduPng0-Bk,1,typescript:S2871,web/src/components/config-form/theme/fields/CameraInputsField.tsx
AaCOHy9f9tFduPng0-Ba,1,typescript:S2871,web/src/components/config-form/theme/fields/LiveStreamsField.tsx
AaCOHzic9tFduPng0-Mw,1,typescript:S2871,web/src/pages/Settings.tsx
AaCOHzic9tFduPng0-Mx,1,typescript:S2871,web/src/pages/Settings.tsx
AaCOHzBt9tFduPng0-B3,1,typescript:S2871,web/src/components/config-form/theme/widgets/ReviewLabelSwitchesWidget.tsx
AaCOHzB39tFduPng0-B6,1,typescript:S2871,web/src/components/config-form/theme/widgets/SwitchesWidget.tsx
AaCOHzAw9tFduPng0-Bp,1,typescript:S2871,web/src/components/config-form/theme/widgets/AudioLabelSwitchesWidget.tsx
AaCOHzic9tFduPng0-Mt,1,typescript:S2871,web/src/pages/Settings.tsx
AaCOHzjz9tFduPng0-Ne,1,typescript:S2871,web/src/utils/profileColors.ts
AaCOHzm69tFduPng0-Oa,1,typescript:S2871,web/src/hooks/use-polygon-states.ts
AaCOHzDS9tFduPng0-CM,1,typescript:S2871,web/src/components/config-form/sectionExtras/NotificationsSettingsExtras.tsx
AaCOHzDS9tFduPng0-CN,1,typescript:S2871,web/src/components/config-form/sectionExtras/NotificationsSettingsExtras.tsx
AaCOHzDl9tFduPng0-CV,1,typescript:S2871,web/src/components/config-form/sectionExtras/ProxyRoleMap.tsx
AaCOHzAw9tFduPng0-Bq,1,typescript:S2871,web/src/components/config-form/theme/widgets/AudioLabelSwitchesWidget.tsx
AaCOHzAw9tFduPng0-Br,1,typescript:S2871,web/src/components/config-form/theme/widgets/AudioLabelSwitchesWidget.tsx
AaCOHzCZ9tFduPng0-B_,1,typescript:S2871,web/src/components/config-form/theme/widgets/TimezoneSelectWidget.tsx
AaCOHzBk9tFduPng0-B1,1,typescript:S2871,web/src/components/config-form/theme/widgets/ZoneSwitchesWidget.tsx
AaCOHzQ49tFduPng0-Gt,1,typescript:S2871,web/src/components/card/AnimatedEventCard.tsx
AaCOHzRY9tFduPng0-G1,1,typescript:S2871,web/src/components/card/ReviewCard.tsx
AaCOHzYf9tFduPng0-Ju,1,typescript:S2871,web/src/components/player/LivePlayer.tsx
AaCOHzXe9tFduPng0-JQ,1,typescript:S2871,web/src/components/player/PreviewThumbnailPlayer.tsx
AaCOHzXe9tFduPng0-JR,1,typescript:S2871,web/src/components/player/PreviewThumbnailPlayer.tsx
AaCOHzoJ9tFduPng0-Ow,1,typescript:S2871,web/src/hooks/use-deferred-stream-metadata.ts
AaCOHzVs9tFduPng0-IR,1,typescript:S2871,web/src/components/filter/ReviewFilterGroup.tsx
AaCOHzIE9tFduPng0-DU,1,typescript:S2871,web/src/components/classification/ClassificationModelEditDialog.tsx
AaCOHylc9tFduPng094n,2,python:S3516,frigate/util/file.py
AaCOHzWQ9tFduPng0-Ie,1,typescript:S2871,web/src/components/filter/SearchFilterGroup.tsx
AaCOHzHt9tFduPng0-DK,1,typescript:S2871,web/src/components/classification/wizard/Step1NameAndDefine.tsx
AaCOHziJ9tFduPng0-Me,1,typescript:S2871,web/src/pages/FaceLibrary.tsx
AaCOHziJ9tFduPng0-Mm,1,typescript:S2871,web/src/pages/FaceLibrary.tsx
AaCOHzvT9tFduPng0-Sg,1,typescript:S2871,web/src/views/search/SearchView.tsx
AaCOHzvT9tFduPng0-Si,1,typescript:S2871,web/src/views/search/SearchView.tsx
AaCOHzQa9tFduPng0-GY,1,typescript:S2871,web/src/components/card/SearchThumbnail.tsx
AaCOHzWQ9tFduPng0-IZ,1,typescript:S2871,web/src/components/filter/SearchFilterGroup.tsx
AaCOHzWQ9tFduPng0-Ib,1,typescript:S2871,web/src/components/filter/SearchFilterGroup.tsx
AaCOHzVs9tFduPng0-IG,1,typescript:S2871,web/src/components/filter/ReviewFilterGroup.tsx
AaCOHzYf9tFduPng0-Jt,1,typescript:S2871,web/src/components/player/LivePlayer.tsx
AaCOHy7p9tFduPng0-Ai,1,typescript:S2871,web/src/components/settings/ObjectMaskEditPane.tsx
AaCOHy7-9tFduPng0-At,1,typescript:S2871,web/src/components/settings/ZoneEditPane.tsx
AaCOHzVs9tFduPng0-IF,1,typescript:S2871,web/src/components/filter/ReviewFilterGroup.tsx
