issue_key,rule,file,baseline_line
AaCOHz9p9tFduPng0-W1,docker:S6506,docker/main/Dockerfile,279
AaCOHz9p9tFduPng0-Wm,docker:S6506,docker/main/Dockerfile,124
AaCOHz9p9tFduPng0-Wr,docker:S6506,docker/main/Dockerfile,154
AaCOHz9p9tFduPng0-Wh,docker:S5332,docker/main/Dockerfile,104
AaCOH0Fm9tFduPng0-YK,shell:S6506,docker/tensorrt/build_jetson_ffmpeg.sh,39
AaCOHz9p9tFduPng0-W6,docker:S6506,docker/main/Dockerfile,327
AaCOH0DV9tFduPng0-X9,docker:S6506,docker/tensorrt/Dockerfile.arm64,78
AaCOH0Fm9tFduPng0-YI,shell:S6506,docker/tensorrt/build_jetson_ffmpeg.sh,31
AaCOH0Fm9tFduPng0-YJ,shell:S6506,docker/tensorrt/build_jetson_ffmpeg.sh,35
AaCOH0Fm9tFduPng0-YL,shell:S6506,docker/tensorrt/build_jetson_ffmpeg.sh,50
AaCOH0Fm9tFduPng0-YM,shell:S6506,docker/tensorrt/build_jetson_ffmpeg.sh,56
AaCOHz9p9tFduPng0-Wq,docker:S6506,docker/main/Dockerfile,151
AaCOHz9p9tFduPng0-We,docker:S6506,docker/main/Dockerfile,96
AaCOHz9p9tFduPng0-Wn,docker:S6506,docker/main/Dockerfile,145
AaCOHz9p9tFduPng0-Wo,docker:S6506,docker/main/Dockerfile,146
AaCOHz9p9tFduPng0-Wx,docker:S6506,docker/main/Dockerfile,192
AaCOH0Iu9tFduPng0-Yd,docker:S6506,docker/rocm/Dockerfile,16
AaCOH0Iu9tFduPng0-Yp,docker:S5332,docker/rocm/Dockerfile,37
AaCOH0At9tFduPng0-Xd,shell:S5332,docker/main/install_deps.sh,122
AaCOH0N99tFduPng0-ZB,docker:S6506,docker/synaptics/Dockerfile,13
AaCOH0N99tFduPng0-ZC,docker:S6506,docker/synaptics/Dockerfile,14
AaCOH0Ls9tFduPng0-Yz,shell:S6506,docker/memryx/user_installation.sh,24
AaCOH0At9tFduPng0-XV,shell:S5332,docker/main/install_deps.sh,47
AaCOH0Iu9tFduPng0-Yu,docker:S6506,docker/rocm/Dockerfile,48
AaCOHyAo9tFduPng09xB,typescript:S5332,docs/docusaurus.config.ts,146
AaCOHz9f9tFduPng0-Wa,shell:S5332,docker/rpi/install_deps.sh,21
